Degree,M,Trial,WeakError
0,32000,4,4.130421e-02
0,32000,5,1.853013e-02
0,32000,6,1.251392e-02
0,32000,7,4.011154e-03
0,32000,8,1.138789e-02
0,32000,9,2.409889e-02
0,64000,0,1.432373e-02
0,64000,1,1.559698e-02
0,64000,2,2.168576e-02
0,64000,3,3.123900e-02
0,64000,4,7.195676e-03
0,64000,5,2.383662e-02
0,64000,6,2.164562e-02
0,64000,7,2.620796e-02
0,64000,8,2.880988e-02
0,64000,9,3.386781e-02
0,100000,0,1.313571e-02
0,100000,1,1.463413e-02
0,100000,2,2.114079e-02
0,100000,3,1.889424e-02
0,100000,4,1.199600e-02
0,100000,5,1.960556e-02
0,100000,6,1.865975e-02
0,100000,7,1.108252e-02
0,100000,8,2.958447e-02
0,100000,9,1.484962e-02
